"Subplot","Transect","Species","X","Y","Per","Date","Year","Day","Basal_cm","Ht_m","Damage","Alive","Found","Topkilled","Fire","Herbivory","Grass"
"FS00","Four Seasons","ACASEN",714428,9753741,"Initial","10/2/2016",2017,246,0.36,0.13,NA,1,1,1,NA,NA,NA
"FS00","Four Seasons","ACASEN",714428,9753741,"Feb 2017","2/18/2017",2017,384,0.7,0.16,0,1,1,0,0,0,NA
"FS00","Four Seasons","ACASEN",714428,9753741,"May 2017","5/1/2017",2017,456,0.73,0.4,0,1,1,0,0,0,NA
"FS00","Four Seasons","ACASEN",714428,9753741,"Aug 2017","8/22/2017",2018,569,0.82,0.44,0,1,1,0,0,0,NA
"FS00","Four Seasons","ACASEN",714428,9753741,"Dec 2017","12/17/2017",2018,686,0.84,0.3,0,1,1,0,0,0,NA
"FS00","Four Seasons","ACASEN",714428,9753741,"May 2018","5/30/2018",2018,850,1.12,0.37,0,1,1,0,0,0,632.12114332062
"FS00","Four Seasons","ACASEN",714428,9753741,"Oct 2018","10/13/2018",2019,986,0.92,0.45,0,1,1,0,0,0,288.293771095888
"FS00","Four Seasons","ACASEN",714428,9753741,"Feb 2019","1/30/2019",2019,1095,0.25,0.24,0,1,1,0,0,0,1224.47226861649
"FS00","Four Seasons","ACASEN",714428,9753741,"Jun 2019","6/3/2019",2019,1219,0.12,0.15,1,1,1,0,7,0,180.437393329581
"FS01","Four Seasons","ACASEN",714431,9753744,"Initial","10/2/2016",2017,246,0.25,0.09,NA,1,1,1,NA,NA,NA
"FS01","Four Seasons","ACASEN",714431,9753744,"Feb 2017","2/18/2017",2017,384,0.43,0.12,0,1,1,0,0,0,NA
"FS01","Four Seasons","ACASEN",714431,9753744,"May 2017","5/1/2017",2017,456,0.52,0.32,0,1,1,0,0,0,NA
"FS01","Four Seasons","ACASEN",714431,9753744,"Aug 2017","8/22/2017",2018,569,0.63,0.07,1,1,1,1,0,0,NA
"FS01","Four Seasons","ACASEN",714431,9753744,"Dec 2017","12/17/2017",2018,686,0.64,0.12,0,1,1,0,0,0,NA
"FS01","Four Seasons","ACASEN",714431,9753744,"May 2018","5/30/2018",2018,850,0.77,0.3,0,1,1,0,0,0,526.813140989903
"FS01","Four Seasons","ACASEN",714431,9753744,"Oct 2018","10/13/2018",2019,986,0.62,0.3,0,1,1,0,0,0,232.282571611184
"FS01","Four Seasons","ACASEN",714431,9753744,"Feb 2019","1/30/2019",2019,1095,0.6,0.33,0,1,1,0,0,0,920.341309055203
"FS01","Four Seasons","ACASEN",714431,9753744,"Jun 2019","6/3/2019",2019,1219,0.36,0.25,1,1,1,0,4,0,116.748150343684
"FS02","Four Seasons","ACASEN",714427,9753757,"Initial","10/2/2016",2017,246,0.28,0.14,NA,1,1,1,NA,NA,NA
"FS02","Four Seasons","ACASEN",714427,9753757,"Feb 2017","2/18/2017",2017,384,1.07,0.19,0,1,1,0,0,0,NA
"FS02","Four Seasons","ACASEN",714427,9753757,"May 2017","5/1/2017",2017,456,0.41,0.31,0,1,1,1,0,0,NA
"FS02","Four Seasons","ACASEN",714427,9753757,"Aug 2017","8/22/2017",2018,569,0.43,0.1,1,1,1,1,0,0,NA
"FS02","Four Seasons","ACASEN",714427,9753757,"Dec 2017","12/17/2017",2018,686,0.43,0.13,0,1,1,0,0,0,NA
"FS02","Four Seasons","ACASEN",714427,9753757,"May 2018","5/30/2018",2018,850,0.62,0.28,0,1,1,0,0,0,456.326456046297
"FS02","Four Seasons","ACASEN",714427,9753757,"Oct 2018","10/13/2018",2019,986,0.7,0.27,0,1,1,0,0,0,245.657234718824
"FS02","Four Seasons","ACASEN",714427,9753757,"Feb 2019","1/30/2019",2019,1095,0.55,0.4,0,1,1,0,0,0,475.287684866536
"FS02","Four Seasons","ACASEN",714427,9753757,"Jun 2019","6/3/2019",2019,1219,0.65,0.09,1,1,1,0,6,0,250.678769411828
"FS03","Four Seasons","ACASEN",714431,9753751,"Initial","10/2/2016",2017,246,1.3,0.25,NA,1,1,1,NA,NA,NA
"FS03","Four Seasons","ACASEN",714431,9753751,"Feb 2017","2/18/2017",2017,384,1.11,0.03,0,1,1,0,0,0,NA
"FS03","Four Seasons","ACASEN",714431,9753751,"May 2017","5/1/2017",2017,456,1.24,0.32,0,1,1,0,0,0,NA
