Date,Site,ID,X,Y,Species,Ht,Diam,Can1,Can2,Seedl_Respr
8/11/2017,Four Seasons,SDG199,714038.826,9754599.793,ACASEN,16,0.2,59,19,R
8/11/2017,Four Seasons,SDG200,714043.2758,9754579.607,ACASEN,14,0.4,12,19,R
8/11/2017,Four Seasons,SDG201,714124.7077,9754389.106,ACASEN,11,0.5,36,28,R
8/11/2017,Four Seasons,SDG202,714159.8919,9754324.625,ACASEN,15,0.5,16,10,S
8/11/2017,Four Seasons,SDG203,714195.8017,9754266.02,ACASEN,12,0.3,23,15,R
8/11/2017,Four Seasons,SDG204,714209.2434,9754240.566,ACASEN,15,0.3,16,8,R
8/11/2017,Four Seasons,SDG205,714336.2638,9753969.987,ACASEN,9,0.3,11,17,R
8/11/2017,Four Seasons,SDG206,714369.3521,9753914.621,ACAROB,28,0.6,15,31,R
8/11/2017,Four Seasons,SDG207,714414.6865,9753768.255,ACATOR,12,0.6,20,18,R
8/10/2017,Ikoma,SDG116,692601.8336,9757209.127,ACADRE,28,0.5,40,32,R
8/10/2017,Ikoma,SDG117,692602.4398,9757209.256,ACADRE,10,0.4,8,17,R
8/10/2017,Ikoma,SDG118,692603.4581,9757210.803,ACADRE,21,0.3,11,22,R
8/10/2017,Ikoma,SDG119,692604.0894,9757208.476,ACADRE,20,0.3,4,23,S
8/10/2017,Ikoma,SDG120,692604.3494,9757207.558,ACADRE,37,0.2,17,8,R
8/10/2017,Ikoma,SDG121,692604.6952,9757208.262,ACADRE,15,0.1,18,20,R
8/10/2017,Ikoma,SDG122,692605.6189,9757208.743,ACADRE,30,0.4,41,29,R
8/10/2017,Ikoma,SDG123,692610.0261,9757205.957,ACADRE,31,0.3,19,20,S
8/10/2017,Ikoma,SDG124,692618.7348,9757197.623,ACADRE,23,0.2,29,8,R
8/10/2017,Ikoma,SDG125,692626.0961,9757193.277,ACADRE,21,0.4,50,9,R
8/10/2017,Ikoma,SDG126,692652.252,9757178.036,ACADRE,31,0.4,31,19,R
8/10/2017,Ikoma,SDG127,692657.2084,9757174.416,ACADRE,22,0.5,21,17,R
