ID,Site,Type,X,Y,TC30
FS00,Four Seasons,Seedling,714428,9753741,0.060978137
FS01,Four Seasons,Seedling,714431,9753744,0.064297187
FS02,Four Seasons,Seedling,714427,9753757,0.066749521
FS03,Four Seasons,Seedling,714431,9753751,0.073178311
FS04,Four Seasons,Seedling,714416,9753772,0.080312759
FS05,Four Seasons,Seedling,714402,9753798,0.086909204
FS06,Four Seasons,Seedling,714396,9753815,0.104453651
FS07,Four Seasons,Seedling,714414,9753830,0.119246104
FS08,Four Seasons,Seedling,714411,9753841,0.120662869
FS09,Four Seasons,Seedling,714377,9753827,0.16192005
FS10,Four Seasons,Seedling,714375,9753843,0.152480066
FS11,Four Seasons,Seedling,714382,9753888,0.058043805
FS12,Four Seasons,Seedling,714378,9753891,0.074361763
FS13,Four Seasons,Seedling,714376,9753895,0.089859126
FS14,Four Seasons,Seedling,714368,9753916,0.088253574
FS15,Four Seasons,Seedling,714350,9753909,0.096079142
FS16,Four Seasons,Seedling,714345,9753914,0.111554198
FS17,Four Seasons,Seedling,714343,9753918,0.113153806
FS18,Four Seasons,Seedling,714351,9753938,0.076126359
FS19,Four Seasons,Seedling,714341,9753932,0.093978149
FS20,Four Seasons,Seedling,714326,9753940,0.068810189
FS21,Four Seasons,Seedling,714333,9753944,0.064319006
FS22,Four Seasons,Seedling,714351,9753956,0.051219639
FS23,Four Seasons,Seedling,714346,9753962,0.05276512
FS24,Four Seasons,Seedling,714337,9753966,0.044016364
FS25,Four Seasons,Seedling,714342,9753978,0.049963757
FS26,Four Seasons,Seedling,714339,9753980,0.04814163
FS27,Four Seasons,Seedling,714306,9753977,0.018186528
FS28,Four Seasons,Seedling,714317,9753983,0.016883319
FS29,Four Seasons,Seedling,714339,9753993,0.077564335
FS30,Four Seasons,Seedling,714339,9753997,0.080894919
FS31,Four Seasons,Seedling,714321,9754015,0.044736706
FS32,Four Seasons,Seedling,714319,9754016,0.037499353
FS33,Four Seasons,Seedling,714317,9754026,0.015453225
FS34,Four Seasons,Seedling,714326,9754031,0.050996635
FS35,Four Seasons,Seedling,714289,9754033,0.041953696
FS36,Four Seasons,Seedling,714286,9754043,0.052094661
FS37,Four Seasons,Seedling,714290,9754046,0.051369686
FS38,Four Seasons,Seedling,714290,9754066,0.0478952
FS39,Four Seasons,Seedling,714265,9754071,0.071558018
FS40,Four Seasons,Seedling,714276,9754088,0.083225439
FS41,Four Seasons,Seedling,714257,9754087,0.087481224
FS42,Four Seasons,Seedling,714257,9754091,0.092524478
FS43,Four Seasons,Seedling,714253,9754092,0.082789686
FS44,Four Seasons,Seedling,714268,9754112,0.097462455
FS45,Four Seasons,Seedling,714253,9754109,0.084472757
